POSIÇÃO,VALOR,TEMPO ITERATIVA,TEMPO RECURSIVA
1,0,0.06180000305175781,0.023299992084503174
2,1,0.001399993896484375,0.0009000003337860107
3,1,0.0012000203132629395,0.0013000071048736572
4,2,0.6794999837875366,0.015500009059906006
5,3,0.001100003719329834,0.0013000071048736572
6,5,0.0009000003337860107,0.0031999945640563965
7,8,0.0010000169277191162,0.0032999813556671143
8,13,0.0010000169277191162,0.0031000077724456787
9,21,0.0015999972820281982,0.0045999884605407715
10,34,0.0014999806880950928,0.007299989461898804
11,55,0.0013000071048736572,0.011200010776519775
12,89,0.001100003719329834,0.01720002293586731
13,144,0.0010000169277191162,0.029199987649917603
14,233,0.0010000169277191162,0.04490000009536743
15,377,0.0010000169277191162,0.07109999656677246
16,610,0.0015999972820281982,0.125900000333786
17,987,0.001100003719329834,0.1867000162601471
18,1597,0.001100003719329834,0.5751000046730042
19,2584,0.0011999905109405518,0.4453999996185303
20,4181,0.001100003719329834,0.049700021743774414
